FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,
4.274038,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.283464,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.292875,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.302081,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.312667,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.324952,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.334613,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.343399,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.352516,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.25,
4.360211,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
4.370846,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
4.381453,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.25,
4.392025,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
4.413033,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.26,
4.451276,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.26,
4.458654,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.26,
4.466152,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.26,
4.475431,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.26,
4.484263,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.26,
4.493126,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.26,
4.501273,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.509095,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.517025,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.524405,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.532931,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.540677,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.548304,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.556088,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.563694,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.573415,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.28,
4.585437,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.28,
4.59552,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.28,
4.627792,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.639089,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.648578,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.658061,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
4.667267,-1.0,358.14056396484375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.1405639648438,0.0,0.0,0.0,0.0,0.25,
4.677988,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.25,
4.688183,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.25,
4.697983,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.25,
4.707546,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.718735,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.728657,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.739596,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.750634,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.759783,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
4.771319,-1.0,358.143310546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,358.143310546875,0.0,0.0,0.0,0.0,0.27,
