FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,Pitch,
3.432775,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.08,-0.06097560975609757,0.0,0.0,0.1318359375,
3.45307,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.1318359375,
3.534679,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1318359375,
3.576388,-1.0,353.001708984375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,353.001708984375,0.0,0.0,0.0,0.0,0.08,-0.06097560975609757,0.0,0.0,0.1318359375,
3.662054,-1.0,352.99896240234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.99896240234375,0.0,0.0,0.0,0.0,0.07,-0.06097560975609757,0.0,0.0,0.1318359375,
3.677983,-1.0,352.99896240234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.99896240234375,0.0,0.0,0.0,0.0,0.07,0.0,0.0,-0.06097560975609757,0.1318359375,
3.692413,-1.0,352.99896240234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.99896240234375,0.0,0.0,0.0,0.0,0.07,0.0,0.0,-0.06097560975609757,0.1318359375,
3.710211,-1.0,352.99896240234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.99896240234375,0.0,0.0,0.0,0.0,0.07,0.0,0.0,-0.06097560975609757,0.1318359375,
3.722538,-1.0,352.99896240234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.99896240234375,0.0,0.0,0.0,0.0,0.08,0.0,0.0,-0.06097560975609757,0.1318359375,
3.735406,-1.0,352.99896240234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.99896240234375,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.1318359375,
3.748617,-1.0,352.99896240234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.99896240234375,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.1318359375,
