FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,Pitch,Roll,
21.653477,-1.0,352.9248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9248046875,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.087890625,0.439453125,
21.67355,-1.0,352.92205810546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.92205810546875,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.087890625,0.439453125,
21.693584,-1.0,352.9248046875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9248046875,0.0,0.0,0.0,0.0,0.27,0.0,0.06097560975609757,-0.06097560975609757,0.087890625,0.439453125,
21.713912,-1.0,352.92205810546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.92205810546875,0.0,0.0,0.0,0.0,0.28,0.0,0.06097560975609757,-0.06097560975609757,0.087890625,0.439453125,
21.733556,-1.0,352.92205810546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.92205810546875,0.0,0.0,0.0,0.0,0.28,0.0,0.06097560975609757,-0.06097560975609757,0.087890625,0.439453125,
21.753435,-1.0,352.92205810546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.92205810546875,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.087890625,0.439453125,
21.773619,-1.0,352.92205810546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.92205810546875,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.087890625,0.439453125,
21.793585,-1.0,352.92205810546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.92205810546875,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.087890625,0.439453125,
21.813673,-1.0,352.92205810546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.92205810546875,0.0,0.0,0.0,0.0,0.28,-0.12195121951219513,0.0,0.0,0.087890625,0.439453125,
21.833562,-1.0,352.92205810546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.92205810546875,0.0,0.0,0.0,0.0,0.28,-0.12195121951219513,0.0,0.0,0.087890625,0.439453125,
21.853517,-1.0,352.92205810546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.92205810546875,0.0,0.0,0.0,0.0,0.28,-0.12195121951219513,0.0,0.0,0.087890625,0.439453125,
21.873654,-1.0,352.92205810546875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.92205810546875,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.087890625,0.439453125,
21.893471,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.087890625,0.439453125,
21.913636,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.087890625,0.439453125,
21.933489,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,-0.06097560975609757,0.0,0.087890625,0.439453125,
21.953844,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.27,0.0,-0.06097560975609757,0.0,0.087890625,0.439453125,
21.974842,-1.0,352.9193115234375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,352.9193115234375,0.0,0.0,0.0,0.0,0.26,0.0,-0.06097560975609757,0.0,0.087890625,0.439453125,
