FPGA Time,Match Time,Theta,Left Front Absolute,Left Front Assumed,Right Front Absolute,Right Front Assumed,Left Rear Absolute,Left Rear Assumed,Right Rear Absolute,Right Rear Assumed,ClimberCmd,LeftIntakeCmd,RightIntakeCmd,LeftShooterSpeed,RightShooterSpeed,targetRPM,climberState,actualPosTicks,actualPosDeg,targetPosDeg,targetPosTicks,shooterError,hoodPosition,TargetX,TargetY,TargetTheta,Robot State Theta,poseX,poseY,Compressor Cur,ClimberSpeed,ClimberCurrent,X Pigeon,Y Pigeon,Z Pigeon,
3.681683,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.06,0.0,-0.06097560975609757,0.0,
3.696349,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.06,0.0,0.0,-0.06097560975609757,
3.709588,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.06,0.0,0.0,-0.06097560975609757,
3.724087,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.06,0.0,0.0,-0.06097560975609757,
3.74003,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.06,0.0,0.0,-0.06097560975609757,
3.757838,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
3.826923,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
3.851897,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,
3.864273,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,
3.879395,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,
3.89427,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.07,-0.12195121951219513,0.0,0.0,
3.931242,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.08,-0.12195121951219513,0.0,0.0,
3.943116,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,
3.954458,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,
3.965999,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,
3.979424,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,
4.017966,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,
4.035604,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.06,0.0,0.06097560975609757,0.0,
4.046167,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.06,0.0,0.06097560975609757,0.0,
4.05702,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.05,0.0,0.06097560975609757,0.0,
4.068025,-1.0,354.9847412109375,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.9847412109375,0.0,0.0,0.0,0.0,0.05,0.0,0.06097560975609757,0.0,
4.080252,-1.0,354.98748779296875,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,-237036.0,0.0,-120.0,-237036.8853333333,-349.0,NEUTRAL,,,,354.98748779296875,0.0,0.0,0.0,0.0,0.05,0.0,0.06097560975609757,0.0,
